time,T0,T1,T2,T3,TC
2020-06-06 22:24:55,,,,,56.84
2020-06-06 22:25:06,,,74.2,,
2020-06-06 22:25:21,,,,76.9,
2020-06-06 22:25:29,,58.5,,,
2020-06-06 22:26:49,,,,,56.66
2020-06-06 22:27:15,,58.4,,,
2020-06-06 23:08:18,,,,,53.78
2020-06-06 23:08:37,,,,76.6,
2020-06-06 23:08:46,,55.9,,,
2020-06-06 23:08:48,,,74.1,,
2020-06-06 23:10:29,,,,,53.6
2020-06-06 23:10:32,,55.8,,,
2020-06-06 23:11:39,,,74.0,,
2020-06-06 23:12:56,,,,,53.6
2020-06-06 23:13:11,,55.7,,,
2020-06-06 23:13:46,,,,,53.42
2020-06-06 23:14:51,,,,,53.42
2020-06-06 23:15:50,,55.6,,,
2020-06-06 23:16:46,,,,,53.24
2020-06-06 23:18:29,,55.5,,,
2020-06-06 23:20:15,,55.4,,,
2020-06-06 23:20:19,,,,,53.06
2020-06-06 23:21:08,,,,,53.06
2020-06-06 23:22:13,,,,,53.06
2020-06-06 23:23:47,,55.3,,,
2020-06-06 23:23:51,,,,,52.879999999999995
2020-06-06 23:24:40,,55.2,,,
2020-06-06 23:24:57,,,,,52.879999999999995
2020-06-06 23:25:20,,,,76.5,
2020-06-06 23:26:26,,55.1,,,
2020-06-06 23:27:57,,,,,52.879999999999995
2020-06-06 23:28:12,,55.1,,,
2020-06-06 23:29:05,,55.0,,,
2020-06-06 23:30:51,,54.9,,,
2020-06-06 23:33:57,,,,,52.7
2020-06-06 23:34:23,,54.8,,,
2020-06-06 23:37:08,,,,76.4,
2020-06-06 23:37:55,,54.7,,,
2020-06-06 23:39:41,,,,,52.519999999999996
2020-06-06 23:40:34,,54.6,,,
2020-06-06 23:43:13,,54.5,,,
2020-06-06 23:43:57,,,73.9,,
2020-06-06 23:44:07,,,,,
2020-06-06 23:46:14,,,,,52.34
2020-06-06 23:47:03,,,,,52.34
2020-06-06 23:47:38,,54.5,,,
2020-06-06 23:48:31,,54.4,,,
2020-06-06 23:51:42,,,,,52.16
2020-06-06 23:51:53,,,,76.3,
2020-06-06 23:52:03,,54.3,,,
2020-06-06 23:54:42,,54.2,,,
2020-06-06 23:55:15,,,,,52.16
2020-06-06 23:57:21,,54.1,,,
2020-06-06 23:58:47,,,,,51.980000000000004
2020-06-06 23:59:07,,54.1,,,
2020-06-07 00:00:00,,54.0,,,
2020-06-07 00:01:03,,,73.8,,
2020-06-07 00:03:32,,53.9,,,
2020-06-07 00:05:18,,53.8,,,
2020-06-07 00:06:26,,,,,51.980000000000004
2020-06-07 00:07:31,,,,,51.980000000000004
2020-06-07 00:07:57,,53.8,,,
2020-06-07 00:08:36,,,,76.2,
2020-06-07 00:08:50,,53.7,,,
2020-06-07 00:11:04,,,,,51.980000000000004
2020-06-07 00:12:22,,53.6,,,
2020-06-07 00:12:42,,,,,51.8
2020-06-07 00:14:04,,,,,51.8
2020-06-07 00:14:08,,53.6,,,
2020-06-07 00:16:32,,,,,51.620000000000005
2020-06-07 00:16:47,,53.5,,,
2020-06-07 00:18:10,,,,,51.620000000000005
2020-06-07 00:22:32,,,,,51.620000000000005
2020-06-07 00:22:54,,,73.7,,
2020-06-07 00:25:19,,,,76.1,
2020-06-07 00:26:30,,53.5,,,
2020-06-07 00:28:16,,,,,51.44
2020-06-07 00:37:06,,53.4,,,
2020-06-07 00:38:05,,,,,51.26
2020-06-07 00:42:24,,53.3,,,
2020-06-07 00:43:17,,53.3,,,
2020-06-07 00:45:44,,,,,51.08
2020-06-07 00:45:56,,53.2,,,
2020-06-07 00:46:57,,,,76.0,
2020-06-07 00:48:35,,53.1,,,
2020-06-07 00:49:30,,,73.6,,
2020-06-07 00:51:14,,53.0,,,
2020-06-07 00:51:44,,,,,51.08
2020-06-07 00:52:00,,,,,50.900000000000006
2020-06-07 00:53:00,,52.9,,,
2020-06-07 00:54:46,,52.8,,,
2020-06-07 00:56:22,,,,,50.72
2020-06-07 00:57:25,,52.7,,,
2020-06-07 00:58:01,,,,,50.72
2020-06-07 00:58:18,,52.6,,,
2020-06-07 00:58:45,,,,75.9,
2020-06-07 01:00:28,,,,,50.540000000000006
2020-06-07 01:01:50,,52.5,,,
2020-06-07 01:01:51,,,73.5,,
2020-06-07 01:03:12,,,,,50.540000000000006
2020-06-07 01:03:36,,52.4,,,
2020-06-07 01:04:34,,,,,50.36
2020-06-07 01:06:15,,52.3,,,
2020-06-07 01:08:54,,52.2,,,
2020-06-07 01:09:45,,,,,50.18
2020-06-07 01:13:29,,,,75.8,
2020-06-07 01:16:50,,52.1,,,
2020-06-07 01:16:50,,,,,50.0
2020-06-07 01:19:30,,52.0,,,
2020-06-07 01:19:54,,,73.4,,
2020-06-07 01:20:23,,,,,50.0
2020-06-07 01:22:09,,52.0,,,
2020-06-07 01:25:17,,,,75.7,
2020-06-07 01:26:34,,51.9,,,
2020-06-07 01:29:40,,,,,49.82
2020-06-07 01:30:06,,51.8,,,
2020-06-07 01:30:21,,,73.3,,
2020-06-07 01:31:52,,51.7,,,
2020-06-07 01:33:38,,51.6,,,
2020-06-07 01:34:51,,,,,49.82
2020-06-07 01:35:24,,51.5,,,
2020-06-07 01:36:17,,51.4,,,
2020-06-07 01:37:02,,,,,49.82
2020-06-07 01:37:05,,,,75.6,
2020-06-07 01:37:19,,,,,49.64
2020-06-07 01:38:03,,51.3,,,
2020-06-07 01:38:24,,,,,49.64
2020-06-07 01:39:30,,,,,49.64
2020-06-07 01:39:49,,51.2,,,
2020-06-07 01:40:35,,,,,49.64
2020-06-07 01:41:35,,51.1,,,
2020-06-07 01:43:21,,51.0,,,
2020-06-07 01:43:35,,,,,49.46
2020-06-07 01:43:58,,,,75.6,
2020-06-07 01:45:07,,50.9,,,
2020-06-07 01:45:13,,,,,49.46
2020-06-07 01:46:02,,,,,49.28
2020-06-07 01:47:46,,50.8,,,
2020-06-07 01:47:54,,,,75.5,
2020-06-07 01:48:24,,,73.2,,
2020-06-07 01:48:30,,,,,49.1
2020-06-07 01:49:19,,,,,49.1
2020-06-07 01:49:32,,50.7,,,
2020-06-07 01:51:18,,50.6,,,
2020-06-07 01:52:03,,,,,48.92
2020-06-07 01:53:04,,50.5,,,
2020-06-07 01:54:46,,,,,48.74
2020-06-07 01:54:50,,50.4,,,
2020-06-07 01:56:36,,50.3,,,
2020-06-07 01:58:19,,,,,48.56
2020-06-07 01:58:22,,50.2,,,
2020-06-07 01:58:51,,,73.1,,
2020-06-07 02:00:08,,50.1,,,
2020-06-07 02:01:40,,,,75.4,
2020-06-07 02:01:54,,50.0,,,
2020-06-07 02:03:14,,,,,48.379999999999995
2020-06-07 02:03:40,,49.9,,,
2020-06-07 02:04:20,,,,,48.2
2020-06-07 02:06:19,,49.8,,,
2020-06-07 02:08:05,,49.7,,,
2020-06-07 02:08:21,,,73.1,,
2020-06-07 02:08:58,,,,,48.2
2020-06-07 02:09:32,,,,75.3,
2020-06-07 02:10:44,,49.6,,,
2020-06-07 02:10:53,,,,,48.019999999999996
2020-06-07 02:11:37,,49.5,,,
2020-06-07 02:12:31,,,,,48.019999999999996
2020-06-07 02:13:06,,,73.0,,
2020-06-07 02:14:16,,49.4,,,
2020-06-07 02:14:25,,,,,47.84
2020-06-07 02:16:55,,49.3,,,
2020-06-07 02:18:15,,,,,47.66
2020-06-07 02:18:41,,49.2,,,
2020-06-07 02:18:47,,,,,47.66
2020-06-07 02:21:20,,49.1,,,
2020-06-07 02:21:31,,,,,47.480000000000004
2020-06-07 02:22:19,,,,75.2,
2020-06-07 02:23:06,,49.0,,,
2020-06-07 02:23:33,,,72.9,,
2020-06-07 02:24:52,,48.9,,,
2020-06-07 02:26:10,,,,,47.3
2020-06-07 02:26:42,,,,,47.3
2020-06-07 02:29:17,,48.8,,,
2020-06-07 02:30:15,,,,,47.120000000000005
2020-06-07 02:31:03,,48.7,,,
2020-06-07 02:32:09,,,,75.1,
2020-06-07 02:33:42,,48.7,,,
2020-06-07 02:34:21,,,,,46.94
2020-06-07 02:34:35,,48.6,,,
2020-06-07 02:36:51,,,72.8,,
2020-06-07 02:37:14,,48.5,,,
2020-06-07 02:37:21,,,,,46.94
2020-06-07 02:38:26,,,,,46.76
2020-06-07 02:39:00,,48.4,,,
2020-06-07 02:41:39,,48.3,,,
2020-06-07 02:42:48,,,,,46.58
2020-06-07 02:42:58,,,,75.0,
2020-06-07 02:43:25,,48.2,,,
2020-06-07 02:44:59,,,,,46.58
2020-06-07 02:46:54,,,,,46.4
2020-06-07 02:47:50,,48.1,,,
2020-06-07 02:49:12,,,72.7,,
2020-06-07 02:50:27,,,,,46.22
2020-06-07 02:50:29,,48.0,,,
2020-06-07 02:52:15,,47.9,,,
2020-06-07 02:52:48,,,,74.9,
